number,multiplier,addend,total,exponent,target
3,3,1,10,1,5
3,4.5,2.5,16,4,1
9,3,1,28,2,7
9,4.5,3.5,44,2,11
9,6.75,7.25,68,2,17
9,10.125,12.875,104,3,13
9,15.1875,23.3125,160,5,5
9,22.78125,50.96875,256,8,1
57,3,1,172,2,43
57,4.5,3.5,260,2,65
57,6.75,7.25,392,3,49
57,10.125,14.875,592,4,37
57,15.1875,30.3125,896,7,7
57,22.78125,109.46875,1408,7,11
57,34.171875,228.203125,2176,7,17
57,51.2578125,406.3046875,3328,8,13
57,76.88671875,737.45703125,5120,10,5
57,115.330078125,1618.185546875,8192,13,1
135,3,1,406,1,203
135,4.5,2.5,610,1,305
135,6.75,4.75,916,2,229
135,10.125,9.125,1376,5,43
135,15.1875,29.6875,2080,5,65
135,22.78125,60.53125,3136,6,49
135,34.171875,122.796875,4736,7,37
135,51.2578125,248.1953125,7168,10,7
135,76.88671875,884.29296875,11264,10,11
135,115.330078125,1838.439453125,17408,10,17
135,172.9951171875,3269.6591796875,26624,11,13
135,259.49267578125,5928.48876953125,40960,13,5
135,389.239013671875,12988.733154296875,65536,16,1
505,3,1,1516,2,379
505,4.5,3.5,2276,2,569
505,6.75,7.25,3416,3,427
505,10.125,14.875,5128,3,641
505,15.1875,26.3125,7696,4,481
505,22.78125,47.46875,11552,5,361
505,34.171875,87.203125,17344,6,271
505,51.2578125,162.8046875,26048,6,407
505,76.88671875,276.20703125,39104,6,611
505,115.330078125,446.310546875,58688,6,917
505,172.9951171875,701.4658203125,88064,11,43
505,259.49267578125,2076.19873046875,133120,11,65
505,389.239013671875,4138.298095703125,200704,12,49
505,583.8585205078125,8255.4471435546875,303104,13,37
505,875.78778076171875,16479.17071533203125,458752,16,7
505,1313.681671142578125,57486.756072998046875,720896,16,11
505,1970.5225067138671875,118998.1341094970703125,1114112,16,17
505,2955.78376007080078125,211265.20116424560546875,1703936,17,13
505,4433.675640106201171875,382433.801746368408203125,2621440,19,5
505,6650.5134601593017578125,835794.7026195526123046875,4194304,22,1
153,3,1,460,2,115
153,4.5,3.5,692,2,173
153,6.75,7.25,1040,4,65
153,10.125,18.875,1568,5,49
153,15.1875,44.3125,2368,6,37
153,22.78125,98.46875,3584,9,7
153,34.171875,403.703125,5632,9,11
153,51.2578125,861.5546875,8704,9,17
153,76.88671875,1548.33203125,13312,10,13
153,115.330078125,2834.498046875,20480,12,5
153,172.9951171875,6299.7470703125,32768,15,1
363,3,1,1090,1,545
363,4.5,2.5,1636,2,409
363,6.75,5.75,2456,3,307
363,10.125,12.625,3688,3,461
363,15.1875,22.9375,5536,5,173
363,22.78125,50.40625,8320,7,65
363,34.171875,139.609375,12544,8,49
363,51.2578125,337.4140625,18944,9,37
