number,target,multiplier,addend,total,diff,angle
1,1,10.125,5.875,1.0,0.0,45.00000000000001
3,1,10.125,1.625,2.0,1.0,33.690067525979785
5,1,10.125,13.375,4.0,1.0,38.65980825409008
7,5,10.125,9.125,5.0,2.0,35.537677791974374
9,13,10.125,12.875,6.5,2.5,35.8376529542783
11,1,10.125,16.625,8.0,3.0,36.027373385103616
13,1,10.125,124.375,16.0,-3.0,50.9061411137705
15,5,10.125,8.125,10.0,5.0,33.690067525979785
17,1,10.125,83.875,16.0,1.0,43.264295411071615
19,13,10.125,15.625,13.0,6.0,34.38034472384487
21,1,10.125,43.375,16.0,5.0,37.30394827798342
23,1,10.125,23.125,16.0,7.0,34.824489156956794
25,17,10.125,18.875,17.0,8.0,34.21570213243741
27,71,10.125,10.625,17.75,9.25,33.32121567193957
29,5,10.125,26.375,20.0,9.0,34.592288687509935
31,161,10.125,8.125,20.125,10.875,32.99137314299631
33,11,10.125,17.875,22.0,11.0,33.690067525979785
35,1,10.125,157.625,32.0,3.0,42.436229788535
37,13,10.125,41.375,26.0,11.0,35.09581678702612
39,101,10.125,9.125,25.25,13.75,32.920469013385016
41,107,10.125,12.875,26.75,14.25,33.12199767524139
43,7,10.125,12.625,28.0,15.0,33.07067782276167
45,1,10.125,56.375,32.0,13.0,35.41705527646742
47,121,10.125,8.125,30.25,16.75,32.76602217320707
49,17,10.125,47.875,34.0,15.0,34.75591255354137
51,17,10.125,27.625,34.0,17.0,33.6900675259798
53,1,10.125,487.375,64.0,-11.0,50.3709946955357
55,71,10.125,11.125,35.5,19.5,32.84040427147349
57,37,10.125,14.875,37.0,20.0,32.98852161363455
59,19,10.125,10.625,38.0,21.0,32.78428086586916
61,5,10.125,22.375,40.0,21.0,33.25436657471205
63,323,10.125,8.125,40.375,22.625,32.65471433943485
65,11,10.125,45.875,44.0,21.0,34.09497795476556
67,11,10.125,25.625,44.0,23.0,33.29356327084668
69,1,10.125,325.375,64.0,5.0,42.84703721089954
71,91,10.125,9.125,45.5,25.5,32.65357933127317
73,47,10.125,12.875,47.0,26.0,32.774877324264246
75,1,10.125,264.625,64.0,11.0,40.47523152716581
77,13,10.125,52.375,52.0,25.0,34.03212781733833
79,101,10.125,8.125,50.5,28.5,32.58836141077341
81,53,10.125,27.875,53.0,28.0,33.197565792216444
83,107,10.125,15.625,53.5,29.5,32.80495033810131
85,1,10.125,163.375,64.0,21.0,36.97759635267251
87,7,10.125,15.125,56.0,31.0,32.76849907876982
89,29,10.125,26.875,58.0,31.0,33.09169993868244
91,233,10.125,10.625,58.25,32.75,32.62370953357176
93,1,10.125,82.375,64.0,29.0,34.534661571399354
95,485,10.125,8.125,60.625,34.375,32.5443046878047
97,125,10.125,17.875,62.5,34.5,32.79489381576872
99,17,10.125,85.625,68.0,31.0,34.48395361545521
101,17,10.125,65.375,68.0,33.0,33.95109432834527
103,263,10.125,9.125,65.75,37.25,32.55210578101293
105,269,10.125,12.875,67.25,37.75,32.63859452260274
107,137,10.125,12.625,68.5,38.5,32.62683996580664
109,71,10.125,32.375,71.0,38.0,33.07926146007769
111,283,10.125,8.125,70.75,40.25,32.512922639997726
113,1,10.125,903.875,128.0,-15.0,48.56153308896312
115,37,10.125,19.625,74.0,41.0,32.76040016306816
117,5,10.125,95.375,80.0,37.0,34.36278549070993
119,19,10.125,11.125,76.0,43.0,32.56455849747235
121,155,10.125,14.875,77.5,43.5,32.63939398929977
123,157,10.125,10.625,78.5,44.5,32.54648236513827
125,161,10.125,22.375,80.5,44.5,32.781535237180755
127,647,10.125,8.125,80.875,46.125,32.48943354445474
129,83,10.125,21.875,83.0,46.0,32.75766880112557
131,11,10.125,81.625,88.0,43.0,33.891457837247536
133,11,10.125,61.375,88.0,45.0,33.49077866179101
135,43,10.125,9.125,86.0,49.0,32.498645944479634
137,175,10.125,12.875,87.5,49.5,32.56580660838388
139,89,10.125,16.625,89.0,50.0,32.6309384740745
141,1,10.125,620.375,128.0,13.0,42.23321159883049
143,91,10.125,8.125,91.0,52.0,32.47119229084848
145,47,10.125,35.875,94.0,51.0,32.95436761473421
147,47,10.125,15.625,94.0,53.0,32.597116878234765
149,13,10.125,155.375,104.0,45.0,34.91452370003753
151,1,10.125,519.125,128.0,23.0,40.287348310211534
153,49,10.125,18.875,98.0,55.0,32.640491273264566
155,395,10.125,10.625,98.75,56.25,32.50108054036129
157,101,10.125,26.375,101.0,56.0,32.75366714031959
159,809,10.125,8.125,101.125,57.875,32.45661692115194
161,103,10.125,17.875,103.0,58.0,32.609143339319104
163,53,10.125,45.625,106.0,57.0,33.03622110875595
165,107,10.125,41.375,107.0,58.0,32.96279767963425
167,425,10.125,9.125,106.25,60.75,32.46564198770659
169,431,10.125,12.875,107.75,61.25,32.52052376393708
171,109,10.125,12.625,109.0,62.0,32.514532509142846
173,7,10.125,40.375,112.0,61.0,32.91897304002991
175,445,10.125,8.125,111.25,63.75,32.44470325921144
177,29,10.125,63.875,116.0,61.0,33.239520224195566
179,29,10.125,43.625,116.0,63.0,32.94504086484837
181,1,10.125,215.375,128.0,53.0,35.2672749670248
183,233,10.125,11.125,116.5,66.5,32.481320588341205
185,59,10.125,14.875,118.0,67.0,32.5312717300449
187,119,10.125,10.625,119.0,68.0,32.47119229084849
189,121,10.125,22.375,121.0,68.0,32.62784474948177
191,971,10.125,8.125,121.375,69.625,32.43478320052805
193,31,10.125,29.875,124.0,69.0,32.72021952035199
195,125,10.125,25.625,125.0,70.0,32.6609127216738
197,17,10.125,181.375,136.0,61.0,34.61946562345975
199,253,10.125,9.125,126.5,72.5,32.44323858701029
201,1,10.125,12.875,128.0,73.0,32.489633159060475
203,65,10.125,24.625,130.0,73.0,32.635258662533374
205,17,10.125,100.375,136.0,69.0,33.56087771219282
207,263,10.125,8.125,131.5,75.5,32.426394974321525
209,67,10.125,27.875,134.0,75.0,32.6658945301573
211,269,10.125,15.625,134.5,76.5,32.51509709414241
213,1,10.125,1939.375,256.0,-43.0,50.238485630703536
215,137,10.125,15.125,137.0,78.0,32.505666281581895
217,35,10.125,42.875,140.0,77.0,32.82854179141253
219,557,10.125,10.625,139.25,79.75,32.45002650698932
221,71,10.125,34.375,142.0,79.0,32.72212110776316
223,1133,10.125,8.125,141.625,81.375,32.419209199039315
225,287,10.125,17.875,143.5,81.5,32.528825617665795
227,1,10.125,1797.625,256.0,-29.0,48.435994342294585
229,37,10.125,49.375,148.0,81.0,32.87410955555049
231,587,10.125,9.125,146.75,84.25,32.427035249591384
233,593,10.125,12.875,148.25,84.75,32.467214246036924
235,299,10.125,12.625,149.5,85.5,32.46330357005117
237,19,10.125,32.375,152.0,85.0,32.674091233941546
239,607,10.125,8.125,151.75,87.25,32.41298461072483
241,5,10.125,119.875,160.0,81.0,33.58020039407551
243,155,10.125,19.625,155.0,88.0,32.53217766378681
245,5,10.125,79.375,160.0,85.0,33.146995832256
247,157,10.125,11.125,157.0,90.0,32.44116305905243
249,317,10.125,14.875,158.5,90.5,32.47863620135787
251,319,10.125,10.625,159.5,91.5,32.43425110994981
253,323,10.125,22.375,161.5,91.5,32.551715244687905
255,1295,10.125,8.125,161.875,93.125,32.4075404432696
257,41,10.125,21.875,164.0,93.0,32.543262415747876
259,83,10.125,33.625,166.0,93.0,32.656892247361895
261,11,10.125,173.375,176.0,85.0,33.9929498826511
263,167,10.125,9.125,167.0,96.0,32.41477105894984
265,337,10.125,12.875,168.5,96.5,32.450202263879426
267,85,10.125,16.625,170.0,97.0,32.48507544529282
269,11,10.125,92.375,176.0,93.0,33.19572449069339
